CODIGO,PLANO_NUM,CL_XN_INI,CL_XN_FIN,CL_YN_INI,CL_YN_FIN,CR_XN_INI,CR_XN_FIN,CR_YN_INI,CR_YN_FIN,CALLES,CARRERAS
"V 9, 5M1",1,110801003,110901001,050100000,067999999,130501003,130681001,080100000,089999999,De la Calle 80 Par hasta la Calle 90 Impar,De la Cra 50 Impar hasta la Cra 68 Par
"V 9, 5M2",1,110901003,111001001,050100000,067999999,130501003,130681001,090100000,099999999,De la Calle 90 Par hasta la Calle 100 Impar,De la Cra 50 Impar hasta la Cra 68 Par
"V 9, 8M1",1,110901003,111008830,086100000,090999999,130861003,130911001,090100000,100882999,De la Calle 90 Par hasta la Calle 100z,De la Cra 86 Impar hasta la Cra 91 Par
"V 9, 8M2",1,110901003,111008830,091100000,095302999,130911003,130953031,090100000,100882999,De la Calle 90 Par hasta la Calle 100z,De la Cra 91 Impar hasta la Cra 95g Par
"V 9, 8M3",1,110901000,111008830,095303000,095999999,130953033,130961001,090100000,100882999,De la Calle 90  hasta la Calle 100z,De la Cra 95g Impar hasta la Cra 96 Par
"V10, 1M1",1,111001003,111061001,001100000,014999999,130011000,130151001,100100000,105999999,De la Calle 100 Par hasta la Calle 106 Impar,De la Cra 1  hasta la Cra 15 Par
"V10, 1M2",1,111001003,111061001,015100000,018999999,130151003,130191000,100100000,105999999,De la Calle 100 Par hasta la Calle 106 Impar,De la Cra 15 Impar hasta la Cra 19 Sur
"V10, 2M1",1,111001003,111061001,019100000,044999999,130191003,130451001,100100000,105999999,De la Calle 100 Par hasta la Calle 106 Impar,De la Cra 19 Impar hasta la Cra 45 Par
"V10, 2M2",1,111061003,111161001,019100000,044999999,130191003,130451001,106100000,115999999,De la Calle 106 Par hasta la Calle 116 Impar,De la Cra 19 Impar hasta la Cra 45 Par
"V10, 4M1",1,111001003,111078830,045100000,053882999,130451000,130538830,100100000,107882999,De la Calle 100 Par hasta la Calle 107z,De la Cra 45  hasta la Cra 53z
"V10, 4M2",1,111001003,111078830,054100000,067999999,130541000,130681001,100100000,107882999,De la Calle 100 Par hasta la Calle 107z,De la Cra 54  hasta la Cra 68 Par
"V10, 4M3",1,111081000,111148830,061100000,067999999,130611000,130681001,108100000,114882999,De la Calle 108  hasta la Calle 114z,De la Cra 61  hasta la Cra 68 Par
"V10, 6M1",1,110801003,111081001,068100000,069882999,130681003,130698830,080100000,107999999,De la Calle 80 Par hasta la Calle 108 Impar,De la Cra 68 Impar hasta la Cra 69z
"V10, 7M1",1,110801003,111161001,070100000,071999999,130701000,130721001,080100000,115999999,De la Calle 80 Par hasta la Calle 116 Impar,De la Cra 70  hasta la Cra 72 Par
"V11, 0M1",1,111061003,111161001,007100000,010999999,130071003,130111001,106100000,115999999,De la Calle 106 Par hasta la Calle 116 Impar,De la Cra 7 Impar hasta la Cra 11 Par
"V11, 0M2",1,111061003,111161001,000100000,006999999,130001000,130071001,106100000,115999999,De la Calle 106 Par hasta la Calle 116 Impar,De la Cra 0  hasta la Cra 7 Par
